asset_path,asset_type,creator_or_source,acquired_or_created_date,owner,licence_or_permission,evidence_location,commercial_use_allowed,modification_allowed,distribution_allowed,attribution_required,attribution_text,review_status,reviewer,review_date,notes
app/static/citizen-centric-logo-compact.png,png,Byte-identical repository derivative; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,"SHA-256 equality with: app/static/politis_symbol_colour.png, mobile/participant-app/assets/citizen-centric-brand-mark.png, mobile/participant-app/assets/citizen-centric-logo-compact.png. Repository equality does not establish original ownership or permission."
app/static/citizen-centric-logo.png,png,Byte-identical repository derivative; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,SHA-256 equality with: participant_app/assets/citizen-centric-logo.png. Repository equality does not establish original ownership or permission.
app/static/politis_horizontal_master.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
app/static/politis_symbol_colour.png,png,Byte-identical repository derivative; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,"SHA-256 equality with: app/static/citizen-centric-logo-compact.png, mobile/participant-app/assets/citizen-centric-brand-mark.png, mobile/participant-app/assets/citizen-centric-logo-compact.png. Repository equality does not establish original ownership or permission."
mobile/participant-app/assets/android-icon-background.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
mobile/participant-app/assets/android-icon-foreground.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
mobile/participant-app/assets/android-icon-monochrome.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
mobile/participant-app/assets/citizen-centric-brand-mark.png,png,Byte-identical repository derivative; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,"SHA-256 equality with: app/static/citizen-centric-logo-compact.png, app/static/politis_symbol_colour.png, mobile/participant-app/assets/citizen-centric-logo-compact.png. Repository equality does not establish original ownership or permission."
mobile/participant-app/assets/citizen-centric-logo-compact.png,png,Byte-identical repository derivative; original asset provenance unresolved,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED_DERIVATIVE,,,"SHA-256 equality with: app/static/citizen-centric-logo-compact.png, app/static/politis_symbol_colour.png, mobile/participant-app/assets/citizen-centric-brand-mark.png. Repository equality does not establish original ownership or permission."
mobile/participant-app/assets/citizen-centric-logo.png,png,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,git history plus platform resource configuration; no licence/provenance record found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNRESOLVED,,,"Repository history only; no creator, ownership or commercial-use permission record found."
